sale_id,product_name,quantity_sold,unit_price,sale_date,customer_id
S00113,Product A,17,250,07/10/2025,C0100
S00114,Product D,16,313,23/07/2025,C0273
S00115,Product A,16,46,15/09/2025,C0419
S00116,Product C,10,244,17/06/2025,C0228
S00117,Product D,2,265,22/04/2025,C0409
S00118,Product A,4,491,23/01/2025,C0211
S00119,Product C,14,290,11/08/2025,C0322
S00120,Product B,13,245,19/06/2025,C0171
S00121,Product C,9,16,18/09/2025,C0487
S00122,Product D,9,57,27/10/2025,C0150
S00123,Product E,18,292,15/08/2025,C0256
S00124,Product B,6,399,12/03/2025,C0150
S00125,Product E,3,299,29/07/2025,C0091
S00126,Product A,17,358,21/11/2025,C0434
S00127,Product B,18,79,23/10/2025,C0499
S00128,Product B,8,64,12/08/2025,C0454
S00129,Product D,6,377,20/04/2025,C0041
S00130,Product B,13,199,14/10/2025,C0279
S00131,Product E,19,31,27/03/2025,C0052
S00132,Product D,19,352,22/10/2025,C0041
S00133,Product D,7,66,01/08/2025,C0158
S00134,Product C,13,136,05/11/2025,C0195
S00135,Product A,11,152,18/02/2025,C0218
S00136,Product B,12,289,29/10/2025,C0307
S00137,Product C,8,287,15/09/2025,C0313
S00138,Product C,13,135,28/10/2025,C0206
S00139,Product E,11,209,22/04/2025,C0436
S00140,Product E,9,490,01/07/2025,C0137
S00141,Product C,4,226,07/02/2025,C0463
S00142,Product E,11,85,16/10/2025,C0091
S00143,Product A,10,363,15/12/2025,C0189
S00144,Product C,5,70,28/04/2025,C0043
S00145,Product B,7,34,12/12/2025,C0214
S00146,Product E,7,199,15/02/2025,C0452
S00147,Product C,17,471,01/11/2025,C0071
S00148,Product A,4,200,22/11/2025,C0164
S00149,Product C,2,389,01/08/2025,C0376
S00150,Product B,12,456,10/04/2025,C0344
S00151,Product C,5,252,17/10/2025,C0048
S00152,Product A,17,230,24/05/2025,C0040
S00153,Product D,19,418,25/09/2025,C0265
S00154,Product D,2,363,15/04/2025,C0174
S00155,Product D,5,463,27/05/2025,C0364
S00156,Product A,10,258,15/03/2025,C0424
S00157,Product D,12,492,09/01/2025,C0268
S00158,Product C,15,421,23/09/2025,C0459
S00159,Product D,2,90,09/02/2025,C0456
S00160,Product E,16,151,30/03/2025,C0366
S00161,Product B,14,139,25/07/2025,C0436
S00162,Product D,3,428,01/04/2025,C0344
S00163,Product D,10,354,12/05/2025,C0148
S00164,Product C,18,394,12/10/2025,C0071
S00165,Product B,16,248,25/09/2025,C0276
S00166,Product C,16,176,24/10/2025,C0271
S00167,Product A,7,100,31/01/2025,C0376
S00168,Product E,9,177,12/04/2025,C0498
S00169,Product D,5,84,03/08/2025,C0468
S00170,Product A,3,262,21/03/2025,C0367
S00171,Product C,10,292,01/05/2025,C0238
S00172,Product B,10,373,21/06/2025,C0080
S00173,Product D,3,195,22/10/2025,C0033
S00174,Product B,19,24,02/09/2025,C0222
S00175,Product D,14,204,08/11/2025,C0311
S00176,Product D,3,185,10/09/2025,C0463
S00177,Product D,19,202,16/08/2025,C0117
S00178,Product C,10,416,16/10/2025,C0454
S00179,Product A,17,233,23/06/2025,C0431
S00180,Product D,17,175,28/01/2025,C0030
S00181,Product C,15,199,21/11/2025,C0189
S00182,Product C,3,475,21/05/2025,C0486
S00183,Product E,2,267,11/08/2025,C0106
S00184,Product A,12,347,09/10/2025,C0092
S00185,Product B,18,479,08/03/2025,C0479
S00186,Product C,4,405,13/10/2025,C0209
S00187,Product D,13,48,02/05/2025,C0411
S00188,Product A,18,328,15/04/2025,C0309
S00189,Product B,17,229,24/08/2025,C0392
S00190,Product D,1,418,16/11/2025,C0485
S00191,Product D,13,228,17/02/2025,C0451
S00192,Product B,19,490,17/01/2025,C0455
S00193,Product C,16,24,01/07/2025,C0032
S00194,Product B,17,421,01/08/2025,C0130
S00195,Product B,17,15,25/03/2025,C0421
S00196,Product E,13,252,28/02/2025,C0402
S00197,Product B,12,250,15/05/2025,C0417
S00198,Product B,4,273,22/04/2025,C0470
S00199,Product A,13,474,11/05/2025,C0428
S00200,Product C,3,350,22/02/2025,C0040
S00201,Product A,19,39,21/07/2025,C0321
S00202,Product B,7,110,22/05/2025,C0290
S00203,Product D,10,241,07/04/2025,C0303
S00204,Product E,13,481,18/06/2025,C0153
S00205,Product B,7,177,03/09/2025,C0275
S00206,Product B,18,361,11/11/2025,C0048
S00207,Product B,13,74,07/08/2025,C0443
S00208,Product D,7,369,01/12/2025,C0131
S00209,Product D,18,408,28/02/2025,C0229
S00210,Product D,9,189,07/04/2025,C0275
S00211,Product C,15,345,22/02/2025,C0156
S00212,Product E,19,459,05/05/2025,C0465
S00213,Product E,6,125,18/06/2025,C0368
S00214,Product B,17,25,02/11/2025,C0313
S00215,Product B,6,134,16/02/2025,C0423
S00216,Product E,6,388,05/07/2025,C0309
S00217,Product B,7,351,26/12/2025,C0136
S00218,Product A,17,238,18/03/2025,C0128
S00219,Product E,16,42,23/01/2025,C0066
S00220,Product C,9,191,16/11/2025,C0002
S00221,Product A,19,151,23/06/2025,C0160
S00222,Product B,8,90,12/11/2025,C0491
S00223,Product E,1,396,08/01/2025,C0214
S00224,Product A,4,137,26/02/2025,C0247
S00225,Product A,18,83,03/12/2025,C0419
S00226,Product C,12,283,06/01/2025,C0246
S00227,Product A,17,92,13/08/2025,C0369
S00228,Product B,15,16,08/10/2025,C0172
S00229,Product E,15,59,06/02/2025,C0311
S00230,Product D,2,138,08/04/2025,C0108
S00231,Product A,6,211,29/08/2025,C0264
S00232,Product A,14,189,03/06/2025,C0163
S00233,Product B,15,294,25/04/2025,C0129
S00234,Product B,13,171,15/05/2025,C0447
S00235,Product C,7,384,25/10/2025,C0225
S00236,Product A,15,449,11/08/2025,C0171
S00237,Product B,3,249,11/02/2025,C0329
S00238,Product A,7,195,12/03/2025,C0200
S00239,Product A,3,93,20/10/2025,C0397
S00240,Product B,14,135,23/12/2025,C0327
S00241,Product A,18,197,18/11/2025,C0491
S00242,Product B,12,91,30/01/2025,C0272
S00243,Product A,2,48,09/11/2025,C0104
S00244,Product C,7,152,03/02/2025,C0087
S00245,Product D,3,30,17/06/2025,C0082
S00246,Product E,5,299,31/05/2025,C0027
S00247,Product A,11,33,19/03/2025,C0090
S00248,Product A,14,57,07/12/2025,C0182
S00249,Product C,15,202,04/08/2025,C0193
S00250,Product E,13,414,09/04/2025,C0002
S00251,Product B,11,385,25/08/2025,C0041
S00252,Product D,3,453,19/10/2025,C0315
S00253,Product D,1,432,27/11/2025,C0298
S00254,Product E,12,43,26/10/2025,C0264
S00255,Product C,1,334,17/12/2025,C0359
S00256,Product C,4,470,29/05/2025,C0427
S00257,Product B,18,178,12/01/2025,C0272
S00258,Product E,8,297,12/12/2025,C0450
S00259,Product B,18,478,03/07/2025,C0403
S00260,Product A,7,225,22/05/2025,C0268
S00261,Product D,9,480,03/02/2025,C0295
S00262,Product B,3,86,05/02/2025,C0395
S00263,Product C,1,190,15/06/2025,C0019
S00264,Product E,18,374,06/11/2025,C0147
S00265,Product C,9,463,02/07/2025,C0184
S00266,Product A,3,355,06/12/2025,C0417
S00267,Product B,7,479,25/08/2025,C0150
S00268,Product D,18,411,28/09/2025,C0253
S00269,Product E,16,462,17/01/2025,C0014
S00270,Product C,13,437,24/06/2025,C0310
S00271,Product A,14,453,26/10/2025,C0182
S00272,Product B,10,293,25/02/2025,C0487
S00273,Product A,9,50,23/02/2025,C0156
S00274,Product B,12,419,09/10/2025,C0400
S00275,Product A,6,359,19/07/2025,C0193
S00276,Product A,14,398,09/07/2025,C0030
S00277,Product C,1,157,01/03/2025,C0183
S00278,Product C,5,235,08/11/2025,C0366
S00279,Product A,14,388,08/08/2025,C0040
S00280,Product B,13,94,08/10/2025,C0229
S00281,Product E,4,141,09/04/2025,C0281
S00282,Product B,9,445,10/10/2025,C0210
S00283,Product B,10,186,29/06/2025,C0372
S00284,Product E,1,112,02/05/2025,C0130
S00285,Product A,4,493,20/03/2025,C0405
S00286,Product B,12,440,29/12/2025,C0133
S00287,Product A,11,211,17/08/2025,C0482
S00288,Product D,7,112,16/07/2025,C0234
S00289,Product C,4,402,04/02/2025,C0324
S00290,Product A,16,383,07/07/2025,C0095
S00291,Product A,9,25,10/03/2025,C0207
S00292,Product E,9,487,30/11/2025,C0240
S00293,Product E,12,122,27/01/2025,C0469
S00294,Product D,5,46,07/10/2025,C0371
S00295,Product B,5,245,02/03/2025,C0084
S00296,Product E,7,36,05/12/2025,C0425
S00297,Product E,8,12,17/05/2025,C0419
S00298,Product C,18,97,30/05/2025,C0388
S00299,Product A,1,75,24/07/2025,C0144
S00300,Product C,10,62,29/07/2025,C0181
S00301,Product A,18,186,11/05/2025,C0259
S00302,Product B,9,475,17/01/2025,C0453
S00303,Product C,16,308,20/03/2025,C0434
S00304,Product D,8,480,05/05/2025,C0016
S00305,Product D,1,85,28/09/2025,C0234
S00306,Product E,8,368,04/03/2025,C0420
S00307,Product C,15,302,18/12/2025,C0432
S00308,Product E,14,27,04/12/2025,C0451
S00309,Product C,9,495,29/07/2025,C0150
S00310,Product D,4,406,26/02/2025,C0171
S00311,Product B,10,442,02/04/2025,C0178
S00312,Product E,18,204,11/09/2025,C0061
S00313,Product E,14,78,05/07/2025,C0316
S00314,Product B,8,484,08/10/2025,C0493
S00315,Product C,16,79,25/06/2025,C0284
S00316,Product E,7,140,27/11/2025,C0156
S00317,Product E,4,228,17/08/2025,C0491
S00318,Product A,3,173,22/05/2025,C0209
S00319,Product D,19,490,14/12/2025,C0200
S00320,Product D,17,323,01/08/2025,C0196
S00321,Product D,3,477,28/08/2025,C0335
S00322,Product C,18,291,12/05/2025,C0274
S00323,Product E,18,267,13/11/2025,C0391
S00324,Product B,19,322,27/09/2025,C0100
S00325,Product B,14,47,16/04/2025,C0459
S00326,Product B,12,242,25/11/2025,C0472
S00327,Product A,1,332,23/02/2025,C0473
S00328,Product C,3,125,02/02/2025,C0134
S00329,Product E,8,364,26/07/2025,C0191
S00330,Product A,2,486,23/03/2025,C0291
S00331,Product A,12,11,08/06/2025,C0386
S00332,Product D,7,98,12/01/2025,C0483
S00333,Product C,5,264,04/05/2025,C0049
S00334,Product D,18,208,08/10/2025,C0479
S00335,Product E,19,201,24/05/2025,C0196
S00336,Product A,6,379,01/07/2025,C0199
S00337,Product E,10,134,10/04/2025,C0336
S00338,Product A,3,223,28/05/2025,C0116
S00339,Product A,7,432,02/12/2025,C0037
S00340,Product B,3,359,04/02/2025,C0137
S00341,Product B,6,487,05/02/2025,C0392
S00342,Product A,19,483,02/02/2025,C0090
S00343,Product A,8,152,10/03/2025,C0063
S00344,Product B,13,157,31/03/2025,C0330
S00345,Product C,7,151,07/01/2025,C0088
S00346,Product D,2,211,24/10/2025,C0463
S00347,Product A,8,305,16/02/2025,C0381
S00348,Product A,1,248,02/10/2025,C0362
S00349,Product C,15,219,14/09/2025,C0350
S00350,Product B,13,32,23/08/2025,C0029
S00351,Product C,5,171,07/02/2025,C0348
S00352,Product B,9,17,30/06/2025,C0399
S00353,Product B,5,345,22/07/2025,C0468
S00354,Product B,5,38,30/09/2025,C0071
S00355,Product E,7,252,13/12/2025,C0043
S00356,Product A,8,277,04/11/2025,C0121
S00357,Product C,17,225,30/01/2025,C0437
S00358,Product E,9,445,25/08/2025,C0050
S00359,Product D,19,291,03/12/2025,C0439
S00360,Product E,7,381,02/01/2025,C0494
S00361,Product A,6,249,03/08/2025,C0098
S00362,Product B,16,297,21/05/2025,C0388
S00363,Product B,9,41,18/03/2025,C0357
S00364,Product D,18,377,31/10/2025,C0011
S00365,Product D,12,282,03/07/2025,C0484
S00366,Product D,13,11,10/11/2025,C0193
S00367,Product C,8,162,29/07/2025,C0280
S00368,Product C,7,225,29/04/2025,C0102
S00369,Product D,6,111,15/10/2025,C0429
S00370,Product A,15,319,28/08/2025,C0499
S00371,Product A,3,225,07/09/2025,C0278
S00372,Product D,15,432,24/10/2025,C0452
S00373,Product D,5,334,02/07/2025,C0199
S00374,Product D,12,435,01/03/2025,C0441
S00375,Product C,18,358,15/06/2025,C0037
S00376,Product E,18,247,01/04/2025,C0193
S00377,Product A,18,338,12/05/2025,C0317
S00378,Product E,4,129,24/09/2025,C0465
S00379,Product E,19,128,28/01/2025,C0402
S00380,Product A,17,438,12/05/2025,C0341
S00381,Product C,16,103,27/08/2025,C0391
S00382,Product A,19,256,15/11/2025,C0006
S00383,Product A,11,358,19/02/2025,C0061
S00384,Product A,8,132,26/03/2025,C0329
S00385,Product E,3,246,27/02/2025,C0096
S00386,Product E,17,366,28/08/2025,C0170
S00387,Product B,1,97,03/01/2025,C0466
S00388,Product D,16,320,05/06/2025,C0106
S00389,Product B,14,19,12/05/2025,C0248
S00390,Product D,6,23,06/09/2025,C0079
S00391,Product E,5,489,02/12/2025,C0282
S00392,Product D,7,394,26/08/2025,C0216
S00393,Product C,7,49,16/01/2025,C0455
S00394,Product B,16,399,20/09/2025,C0404
S00395,Product A,18,430,20/10/2025,C0496
S00396,Product A,3,307,15/07/2025,C0028
S00397,Product C,4,248,08/01/2025,C0267
S00398,Product D,7,240,02/08/2025,C0128
S00399,Product E,11,173,22/02/2025,C0263
S00400,Product C,18,214,24/05/2025,C0298
S00401,Product E,12,305,04/08/2025,C0157
S00402,Product A,19,168,04/12/2025,C0304
S00403,Product A,2,458,30/10/2025,C0195
S00404,Product A,3,141,15/12/2025,C0190
S00405,Product E,10,286,07/01/2025,C0164
S00406,Product C,15,414,27/12/2025,C0063
S00407,Product D,9,197,30/07/2025,C0236
S00408,Product C,15,228,10/08/2025,C0210
S00409,Product C,19,230,07/03/2025,C0467
S00410,Product A,9,186,04/05/2025,C0305
S00411,Product D,11,352,12/09/2025,C0364
S00412,Product E,8,190,07/12/2025,C0294
S00413,Product E,9,157,16/11/2025,C0029
S00414,Product A,2,34,20/02/2025,C0385
S00415,Product A,11,155,03/09/2025,C0227
S00416,Product A,1,138,18/12/2025,C0089
S00417,Product A,10,215,28/12/2025,C0499
S00418,Product C,7,355,30/04/2025,C0465
S00419,Product C,15,162,19/04/2025,C0446
S00420,Product E,6,374,09/10/2025,C0187
S00421,Product A,14,43,25/11/2025,C0371
S00422,Product A,12,481,19/03/2025,C0369
S00423,Product B,12,401,04/04/2025,C0143
S00424,Product E,2,282,14/08/2025,C0362
S00425,Product C,1,327,12/02/2025,C0450
S00426,Product D,7,293,03/03/2025,C0179
S00427,Product B,6,349,11/02/2025,C0396
S00428,Product C,8,350,04/03/2025,C0349
S00429,Product E,9,62,30/09/2025,C0257
S00430,Product C,9,217,25/04/2025,C0034
S00431,Product B,16,263,22/10/2025,C0112
S00432,Product C,19,128,28/03/2025,C0034
S00433,Product B,8,266,24/05/2025,C0338
S00434,Product D,5,434,30/10/2025,C0147
S00435,Product E,6,243,06/08/2025,C0185
S00436,Product E,3,328,04/04/2025,C0063
S00437,Product D,4,23,24/06/2025,C0287
S00438,Product E,11,499,03/05/2025,C0406
S00439,Product C,19,207,18/11/2025,C0348
S00440,Product D,9,97,15/03/2025,C0479
S00441,Product C,4,318,31/08/2025,C0338
S00442,Product D,1,401,26/10/2025,C0245
S00443,Product E,18,394,25/03/2025,C0184
S00444,Product B,14,68,15/05/2025,C0424
S00445,Product B,14,188,13/02/2025,C0354
S00446,Product A,3,491,18/07/2025,C0019
S00447,Product B,4,421,02/12/2025,C0176
S00448,Product A,5,340,19/10/2025,C0066
S00449,Product E,15,378,19/11/2025,C0118
S00450,Product A,4,304,22/11/2025,C0301
S00451,Product E,16,19,04/08/2025,C0302
S00452,Product B,8,427,31/01/2025,C0137
S00453,Product D,6,252,25/04/2025,C0371
S00454,Product A,10,156,11/08/2025,C0275
S00455,Product E,17,132,18/09/2025,C0255
S00456,Product D,5,322,29/04/2025,C0066
S00457,Product D,4,167,29/09/2025,C0275
S00458,Product B,18,249,01/11/2025,C0189
S00459,Product B,3,391,11/10/2025,C0395
S00460,Product C,4,423,11/10/2025,C0374
S00461,Product C,17,301,31/08/2025,C0091
S00462,Product C,6,146,30/07/2025,C0408
S00463,Product D,15,112,04/12/2025,C0423
S00464,Product B,7,152,15/04/2025,C0401
S00465,Product E,1,133,17/09/2025,C0131
S00466,Product D,18,115,02/01/2025,C0270
S00467,Product B,7,236,04/06/2025,C0261
S00468,Product E,13,78,03/12/2025,C0042
S00469,Product C,18,230,24/08/2025,C0155
S00470,Product D,6,496,20/12/2025,C0344
S00471,Product A,5,166,01/06/2025,C0328
S00472,Product B,9,36,29/11/2025,C0089
S00473,Product B,4,421,13/05/2025,C0082
S00474,Product A,17,218,17/04/2025,C0185
S00475,Product D,18,291,06/10/2025,C0277
S00476,Product B,2,171,16/04/2025,C0449
S00477,Product E,5,99,30/01/2025,C0353
S00478,Product C,2,197,06/07/2025,C0227
S00479,Product B,5,475,05/08/2025,C0047
S00480,Product B,10,221,07/10/2025,C0108
S00481,Product D,4,309,04/04/2025,C0470
S00482,Product A,3,217,09/03/2025,C0048
S00483,Product C,5,346,31/10/2025,C0168
S00484,Product B,19,325,26/09/2025,C0452
S00485,Product A,19,455,26/12/2025,C0161
S00486,Product C,11,207,13/03/2025,C0049
S00487,Product A,1,88,10/11/2025,C0312
S00488,Product B,13,206,08/04/2025,C0139
S00489,Product A,18,148,26/10/2025,C0487
S00490,Product B,9,272,08/03/2025,C0324
S00491,Product D,3,118,19/07/2025,C0487
S00492,Product A,3,66,05/08/2025,C0362
S00493,Product D,5,295,01/05/2025,C0239
S00494,Product A,7,484,04/04/2025,C0355
S00495,Product D,18,193,16/06/2025,C0351
S00496,Product E,8,211,14/04/2025,C0106
S00497,Product B,1,465,15/04/2025,C0382
S00498,Product B,4,473,30/03/2025,C0308
S00499,Product C,10,131,30/03/2025,C0113
S00500,Product B,10,162,07/09/2025,C0341
S00501,Product E,9,415,20/02/2025,C0297
S00502,Product C,4,426,23/07/2025,C0205
S00503,Product B,10,460,28/04/2025,C0436
S00504,Product A,8,432,10/01/2025,C0231
S00505,Product C,16,190,31/01/2025,C0020
S00506,Product E,10,250,11/08/2025,C0033
S00507,Product A,10,185,25/08/2025,C0337
S00508,Product D,15,141,16/07/2025,C0499
S00509,Product C,6,485,12/09/2025,C0319
S00510,Product A,2,115,02/07/2025,C0280
S00511,Product D,15,152,28/02/2025,C0305
S00512,Product A,19,13,09/03/2025,C0376
S00513,Product D,13,338,29/11/2025,C0291
S00514,Product B,11,190,03/08/2025,C0476
S00515,Product C,8,231,20/12/2025,C0018
S00516,Product C,9,65,20/01/2025,C0466
S00517,Product D,13,70,14/08/2025,C0146
S00518,Product C,14,437,26/08/2025,C0157
S00519,Product A,16,158,02/04/2025,C0167
S00520,Product E,4,378,03/03/2025,C0447
S00521,Product E,19,122,11/06/2025,C0131
S00522,Product C,19,122,20/01/2025,C0035
S00523,Product A,19,316,26/04/2025,C0415
S00524,Product E,17,274,23/03/2025,C0286
S00525,Product E,18,119,29/12/2025,C0017
S00526,Product B,11,333,28/02/2025,C0096
S00527,Product B,4,442,16/12/2025,C0216
S00528,Product B,2,95,05/12/2025,C0019
S00529,Product B,14,450,30/11/2025,C0289
S00530,Product C,10,12,18/04/2025,C0279
S00531,Product A,9,325,06/10/2025,C0471
S00532,Product A,15,478,19/08/2025,C0193
S00533,Product A,16,487,14/08/2025,C0273
S00534,Product C,6,426,28/12/2025,C0390
S00535,Product C,9,349,10/12/2025,C0166
S00536,Product C,10,290,19/08/2025,C0142
S00537,Product D,9,479,30/05/2025,C0032
S00538,Product B,7,387,04/10/2025,C0007
S00539,Product A,4,120,21/07/2025,C0467
S00540,Product D,6,157,13/04/2025,C0073
S00541,Product A,3,37,05/01/2025,C0249
S00542,Product A,8,371,20/09/2025,C0413
S00543,Product E,1,107,25/04/2025,C0099
S00544,Product A,15,404,28/09/2025,C0183
S00545,Product B,3,434,10/12/2025,C0497
S00546,Product B,2,76,08/12/2025,C0367
S00547,Product E,13,191,07/06/2025,C0069
S00548,Product A,13,332,24/08/2025,C0060
S00549,Product D,16,58,19/09/2025,C0225
S00550,Product B,1,369,09/09/2025,C0093
S00551,Product E,5,123,26/02/2025,C0134
S00552,Product E,13,171,27/02/2025,C0123
S00553,Product E,12,78,26/05/2025,C0014
S00554,Product C,14,376,16/06/2025,C0067
S00555,Product E,8,248,01/07/2025,C0245
S00556,Product C,10,242,15/09/2025,C0255
S00557,Product C,4,282,30/07/2025,C0247
S00558,Product C,17,61,03/05/2025,C0370
S00559,Product A,12,152,08/10/2025,C0335
S00560,Product A,19,184,22/10/2025,C0470
S00561,Product E,3,228,06/07/2025,C0139
S00562,Product D,5,141,31/03/2025,C0180
S00563,Product D,1,300,15/08/2025,C0439
S00564,Product B,12,224,31/07/2025,C0163
S00565,Product A,1,441,28/01/2025,C0079
S00566,Product A,1,82,30/11/2025,C0023
S00567,Product D,14,144,16/03/2025,C0433
S00568,Product D,13,63,20/11/2025,C0498
S00569,Product B,9,457,06/05/2025,C0124
S00570,Product C,12,491,06/02/2025,C0421
S00571,Product B,9,96,25/08/2025,C0183
S00572,Product C,11,98,08/03/2025,C0282
S00573,Product B,14,34,03/03/2025,C0190
S00574,Product A,4,238,01/08/2025,C0330
S00575,Product C,3,413,24/02/2025,C0322
S00576,Product D,1,333,03/07/2025,C0092
S00577,Product E,15,202,09/04/2025,C0490
S00578,Product B,18,466,10/05/2025,C0056
S00579,Product B,9,291,08/11/2025,C0244
S00580,Product B,9,193,28/01/2025,C0198
S00581,Product D,5,129,12/03/2025,C0381
S00582,Product E,11,182,07/12/2025,C0439
S00583,Product C,4,309,11/03/2025,C0305
S00584,Product C,15,132,27/02/2025,C0395
S00585,Product B,2,219,06/08/2025,C0456
S00586,Product A,9,153,19/11/2025,C0484
S00587,Product C,2,88,18/03/2025,C0228
S00588,Product A,1,100,14/11/2025,C0243
S00589,Product B,4,252,03/07/2025,C0443
S00590,Product E,9,238,09/06/2025,C0136
S00591,Product A,18,385,08/08/2025,C0067
S00592,Product C,11,451,28/12/2025,C0070
S00593,Product E,1,330,11/09/2025,C0321
S00594,Product A,10,34,13/11/2025,C0349
S00595,Product C,14,55,02/10/2025,C0156
S00596,Product B,7,494,29/07/2025,C0238
S00597,Product E,13,178,06/01/2025,C0095
S00598,Product A,1,201,25/09/2025,C0137
S00599,Product D,12,409,30/10/2025,C0360
S00600,Product C,12,257,05/07/2025,C0110
S00601,Product D,13,135,18/06/2025,C0288
S00602,Product E,1,123,27/12/2025,C0294
S00603,Product C,14,461,24/02/2025,C0287
S00604,Product D,8,413,11/07/2025,C0486
S00605,Product D,6,52,04/08/2025,C0398
S00606,Product D,10,48,13/06/2025,C0402
